criterion,cacc,sacc,n_clusters
Color Scheme,0.11,0.5512594950944185,7
Composition Style,0.09,0.5115245262781779,4
Contextual Setting,0.13,0.549360984582454,9
Cooking Method,0.18,0.5694153807684779,13
Food Category,0.16,0.5690217928215862,9
Food Presentation Aesthetics,0.12,0.5307113295197488,6
Lighting And Ambiance,0.11,0.5220342483520508,6
Meal Occasion,0.14,0.5722486861422658,9
